Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,27/01/2021 13:39,FALSE,Woking Running,5.41,319,00:29:46,131,145,2.4,159,196,05:30,04:50,16,23,1.13,9.2,10.6,275,50.8% L / 49.2% R,0,0,0,29:46:00,00:00,0,00:00,No,02:13.5,6,0
Running,24/01/2021 08:51,FALSE,Woking Running,5.74,345,00:32:05,137,149,2.8,159,201,05:35,04:46,27,28,1.11,8.9,10.1,278,50.3% L / 49.7% R,0,0,0,32:05:00,00:00,0,00:00,No,04:10.1,6,0
Running,23/01/2021 12:25,FALSE,Woking Running,10.01,647,00:55:21,138,155,3,158,182,05:32,04:20,35,37,1.13,9.1,10.6,278,50.3% L / 49.7% R,0,0,0,55:21:00,00:00,0,00:00,No,00:02.0,11,0
Running,22/01/2021 13:31,FALSE,Woking Running,5.51,327,00:29:54,136,148,2.5,158,190,05:25,04:57,19,26,1.15,9.1,10.7,276,49.8% L / 50.2% R,0,0,0,29:54:00,00:00,0,00:00,No,02:43.5,6,0
Running,21/01/2021 13:03,FALSE,Woking Running,5.4,340,00:29:04,135,151,2.7,158,176,05:23,04:42,25,26,1.16,9.1,10.9,275,50.0% L / 50.0% R,0,0,0,29:04:00,00:00,0,00:00,No,02:11.8,6,0
Running,19/01/2021 13:33,FALSE,Woking Running,4.9,301,00:26:24,133,147,2.4,158,173,05:24,04:36,23,26,1.17,9.3,11.1,276,50.2% L / 49.8% R,0,0,0,26:24:00,00:00,0,00:00,No,05:03.2,5,0
Running,18/01/2021 13:22,FALSE,Woking Running,5.37,325,00:29:00,135,151,2.4,156,174,05:24,04:49,17,24,1.17,9.3,11.2,278,50.0% L / 50.0% R,0,0,0,29:00:00,00:00,0,00:00,No,01:57.5,6,0
Running,17/01/2021 09:33,FALSE,Woking Running,10.01,623,00:54:09,137,158,3,157,192,05:25,04:25,32,32,1.16,9.2,10.8,279,49.9% L / 50.1% R,0,0,0,54:09:00,00:00,0,00:00,No,00:02.6,11,0
Running,15/01/2021 16:02,FALSE,Woking Running,10.02,579,00:57:41,130,148,2.2,155,256,05:46,05:02,32,32,1.12,9.8,11.1,285,50.2% L / 49.8% R,0,0,0,57:41:00,00:00,0,00:00,No,00:04.6,11,0
Running,13/01/2021 13:35,FALSE,Woking Running,4.71,286,00:25:51,131,149,2.3,158,185,05:29,04:42,18,17,1.15,9.5,11.1,276,49.7% L / 50.3% R,0,0,0,25:51:00,00:00,0,00:00,No,03:56.4,5,0
Running,12/01/2021 13:35,FALSE,Woking Running,5.68,359,00:31:37,135,147,2.4,156,194,05:34,04:21,30,31,1.13,9.6,11,280,50.0% L / 50.0% R,0,0,0,31:37:00,00:00,0,00:00,No,03:43.7,6,0
Running,11/01/2021 12:59,FALSE,Woking Running,5.7,364,00:30:32,138,154,2.8,156,178,05:22,04:31,12,16,1.17,9.4,11.2,278,49.6% L / 50.4% R,0,0,0,30:32:00,00:00,0,00:00,No,03:36.6,6,0
Running,10/01/2021 09:37,FALSE,Woking Running,10.01,610,00:56:13,137,155,2.7,156,181,05:37,04:42,21,24,1.13,9.2,10.7,281,50.4% L / 49.6% R,0,0,0,56:13:00,00:00,0,00:00,No,00:01.9,11,0
Running,09/01/2021 09:21,FALSE,Woking Running,10.01,591,00:55:37,138,154,2.5,157,207,05:34,04:37,47,51,1.13,9.2,10.6,278,50.2% L / 49.8% R,0,0,0,55:37:00,00:00,0,00:00,No,00:01.9,11,0
Running,07/01/2021 13:29,FALSE,Woking Running,5.71,339,00:32:21,133,146,2.3,156,180,05:40,04:32,32,37,1.11,9.6,10.9,283,50.3% L / 49.7% R,0,0,0,32:21:00,00:00,0,00:00,No,03:59.1,6,0
Running,05/01/2021 07:50,FALSE,Woking Running,5.68,360,00:32:35,134,147,2.5,157,191,05:44,04:47,31,34,1.1,9.4,10.6,281,50.5% L / 49.5% R,0,0,0,32:35:00,00:00,0,00:00,No,03:48.0,6,0
Running,03/01/2021 09:48,FALSE,Woking Running,5.69,347,00:32:21,132,149,2.4,156,172,05:41,04:56,17,16,1.12,9.4,10.8,282,50.3% L / 49.7% R,0,0,0,32:21:00,00:00,0,00:00,No,03:44.7,6,0
